pos;shape;value;landmark
pos1;1;-25.300005;1
pos2;1;9.441915000000002;1
pos1;1;-16.904203;2
pos2;1;-2.6999390000000005;2
pos1;1;6.950539999999997;3
pos2;1;-11.9160457;3
pos1;1;6.761552000000002;4
pos2;1;-2.888926999999999;4
pos1;1;-2.6446630000000013;5
pos2;1;13.976827;5
pos1;1;14.013675;6
pos2;1;-0.43248900000000035;6
pos1;1;23.20908;7
pos2;1;-7.527424;7
pos1;1;14.813277;8
pos2;1;5.345863999999999;8
pos1;1;-6.642665999999998;9
pos2;1;18.804309000000003;9
pos1;1;-0.37912899999999894;10
pos2;1;1.834969000000001;10
pos1;1;2.6860050000000015;11
pos2;1;-7.819998;11
pos1;1;-16.237869;12
pos2;1;4.614432000000001;12
