locx;locy;nfstd
-3.75;-3.75;0.75
-2.25;-3.75;0.75
-0.75;-3.75;0.75
0.75;-3.75;0.75
2.25;-3.75;0.75
3.75;-3.75;0.75
-3.75;-2.25;0.75
-2.25;-2.25;0.75
-0.75;-2.25;0.75
0.75;-2.25;0.75
2.25;-2.25;0.75
3.75;-2.25;0.75
-3.75;-0.75;0.75
-2.25;-0.75;0.75
-0.75;-0.75;0.75
0.75;-0.75;0.75
2.25;-0.75;0.75
3.75;-0.75;0.75
-3.75;0.75;0.75
-2.25;0.75;0.75
-0.75;0.75;0.75
0.75;0.75;0.75
2.25;0.75;0.75
3.75;0.75;0.75
-3.75;2.25;0.75
-2.25;2.25;0.75
-0.75;2.25;0.75
0.75;2.25;0.75
2.25;2.25;0.75
3.75;2.25;0.75
-3.75;3.75;0.75
-2.25;3.75;0.75
-0.75;3.75;0.75
0.75;3.75;0.75
2.25;3.75;0.75
3.75;3.75;0.75
