kernel;acc;iter
mala_mom;0;1
mala_mom;0;2
mala_mom;0;3
mala_mom;0;4
mala_mom;0;5
mala_mom;0;6
mala_mom;0;7
mala_mom;0;8
mala_mom;0;9
mala_mom;0;10
mala_mom;0;11
mala_mom;0;12
mala_mom;0;13
mala_mom;0;14
mala_mom;0;15
mala_mom;0;16
mala_mom;0;17
mala_mom;0;18
mala_mom;0;19
mala_mom;0;20
mala_mom;0;21
mala_mom;0;22
mala_mom;0;23
mala_mom;0;24
mala_mom;0;25
mala_mom;0;26
mala_mom;0;27
mala_mom;0;28
mala_mom;0;29
mala_mom;0;30
mala_mom;0;31
mala_mom;0;32
mala_mom;0;33
mala_mom;0;34
mala_mom;0;35
mala_mom;0;36
mala_mom;0;37
mala_mom;0;38
mala_mom;0;39
mala_mom;0;40
mala_mom;0;41
mala_mom;0;42
mala_mom;0;43
mala_mom;0;44
mala_mom;0;45
mala_mom;0;46
mala_mom;0;47
mala_mom;0;48
mala_mom;0;49
mala_mom;0;50
mala_mom;0;51
mala_mom;1;52
mala_mom;1;53
mala_mom;1;54
mala_mom;1;55
mala_mom;1;56
mala_mom;1;57
mala_mom;1;58
mala_mom;1;59
mala_mom;0;60
mala_mom;1;61
mala_mom;1;62
mala_mom;1;63
mala_mom;1;64
mala_mom;1;65
mala_mom;1;66
mala_mom;0;67
mala_mom;1;68
mala_mom;1;69
mala_mom;1;70
mala_mom;1;71
mala_mom;1;72
mala_mom;1;73
mala_mom;1;74
mala_mom;1;75
mala_mom;1;76
mala_mom;1;77
mala_mom;1;78
mala_mom;1;79
mala_mom;1;80
mala_mom;0;81
mala_mom;1;82
mala_mom;0;83
mala_mom;1;84
mala_mom;1;85
mala_mom;1;86
mala_mom;1;87
mala_mom;1;88
mala_mom;1;89
mala_mom;1;90
mala_mom;1;91
mala_mom;1;92
mala_mom;1;93
mala_mom;1;94
mala_mom;1;95
mala_mom;1;96
mala_mom;1;97
mala_mom;1;98
mala_mom;1;99
mala_mom;0;100
mala_mom;0;101
mala_mom;1;102
mala_mom;0;103
mala_mom;1;104
mala_mom;1;105
mala_mom;1;106
mala_mom;0;107
mala_mom;1;108
mala_mom;1;109
mala_mom;1;110
mala_mom;1;111
mala_mom;1;112
mala_mom;0;113
mala_mom;1;114
mala_mom;1;115
mala_mom;1;116
mala_mom;1;117
mala_mom;1;118
mala_mom;1;119
mala_mom;0;120
mala_mom;1;121
mala_mom;1;122
mala_mom;1;123
mala_mom;1;124
mala_mom;1;125
mala_mom;1;126
mala_mom;0;127
mala_mom;0;128
mala_mom;1;129
mala_mom;1;130
mala_mom;1;131
mala_mom;1;132
mala_mom;1;133
mala_mom;0;134
mala_mom;1;135
mala_mom;1;136
mala_mom;1;137
mala_mom;1;138
mala_mom;1;139
mala_mom;1;140
mala_mom;1;141
mala_mom;1;142
mala_mom;1;143
mala_mom;1;144
mala_mom;1;145
mala_mom;0;146
mala_mom;1;147
mala_mom;1;148
mala_mom;1;149
mala_mom;0;150
mala_mom;0;151
mala_mom;1;152
mala_mom;1;153
mala_mom;0;154
mala_mom;1;155
mala_mom;0;156
mala_mom;1;157
mala_mom;1;158
mala_mom;1;159
mala_mom;1;160
mala_mom;1;161
mala_mom;1;162
mala_mom;1;163
mala_mom;1;164
mala_mom;1;165
mala_mom;1;166
mala_mom;1;167
mala_mom;1;168
mala_mom;1;169
mala_mom;1;170
mala_mom;1;171
mala_mom;0;172
mala_mom;1;173
mala_mom;1;174
mala_mom;1;175
mala_mom;1;176
mala_mom;1;177
mala_mom;1;178
mala_mom;1;179
mala_mom;1;180
mala_mom;1;181
mala_mom;1;182
mala_mom;1;183
mala_mom;1;184
mala_mom;1;185
mala_mom;1;186
mala_mom;1;187
mala_mom;1;188
mala_mom;0;189
mala_mom;0;190
mala_mom;1;191
mala_mom;1;192
mala_mom;0;193
mala_mom;1;194
mala_mom;1;195
mala_mom;0;196
mala_mom;1;197
mala_mom;1;198
mala_mom;1;199
mala_mom;1;200
pCN;1;1
pCN;1;2
pCN;1;3
pCN;0;4
pCN;0;5
pCN;1;6
pCN;1;7
pCN;0;8
pCN;1;9
pCN;0;10
pCN;0;11
pCN;0;12
pCN;0;13
pCN;0;14
pCN;1;15
pCN;1;16
pCN;0;17
pCN;1;18
pCN;0;19
pCN;1;20
pCN;0;21
pCN;0;22
pCN;0;23
pCN;0;24
pCN;1;25
pCN;0;26
pCN;1;27
pCN;0;28
pCN;0;29
pCN;0;30
pCN;1;31
pCN;1;32
pCN;0;33
pCN;1;34
pCN;1;35
pCN;0;36
pCN;0;37
pCN;1;38
pCN;0;39
pCN;1;40
pCN;0;41
pCN;0;42
pCN;0;43
pCN;1;44
pCN;0;45
pCN;0;46
pCN;1;47
pCN;0;48
pCN;1;49
pCN;1;50
pCN;0;51
pCN;1;52
pCN;0;53
pCN;1;54
pCN;1;55
pCN;1;56
pCN;1;57
pCN;0;58
pCN;0;59
pCN;0;60
pCN;0;61
pCN;0;62
pCN;0;63
pCN;0;64
pCN;1;65
pCN;0;66
pCN;0;67
pCN;1;68
pCN;0;69
pCN;1;70
pCN;0;71
pCN;0;72
pCN;0;73
pCN;0;74
pCN;0;75
pCN;1;76
pCN;0;77
pCN;1;78
pCN;1;79
pCN;0;80
pCN;1;81
pCN;0;82
pCN;0;83
pCN;1;84
pCN;1;85
pCN;0;86
pCN;1;87
pCN;0;88
pCN;1;89
pCN;0;90
pCN;0;91
pCN;1;92
pCN;1;93
pCN;1;94
pCN;1;95
pCN;1;96
pCN;1;97
pCN;0;98
pCN;1;99
pCN;1;100
pCN;1;101
pCN;0;102
pCN;0;103
pCN;0;104
pCN;0;105
pCN;1;106
pCN;0;107
pCN;0;108
pCN;0;109
pCN;0;110
pCN;1;111
pCN;0;112
pCN;1;113
pCN;0;114
pCN;1;115
pCN;0;116
pCN;0;117
pCN;1;118
pCN;0;119
pCN;0;120
pCN;0;121
pCN;1;122
pCN;0;123
pCN;1;124
pCN;0;125
pCN;1;126
pCN;0;127
pCN;1;128
pCN;0;129
pCN;0;130
pCN;1;131
pCN;0;132
pCN;0;133
pCN;1;134
pCN;1;135
pCN;1;136
pCN;1;137
pCN;0;138
pCN;0;139
pCN;0;140
pCN;0;141
pCN;1;142
pCN;0;143
pCN;1;144
pCN;0;145
pCN;0;146
pCN;0;147
pCN;1;148
pCN;1;149
pCN;1;150
pCN;0;151
pCN;0;152
pCN;1;153
pCN;0;154
pCN;1;155
pCN;1;156
pCN;0;157
pCN;0;158
pCN;0;159
pCN;0;160
pCN;1;161
pCN;0;162
pCN;1;163
pCN;0;164
pCN;0;165
pCN;0;166
pCN;1;167
pCN;0;168
pCN;1;169
pCN;0;170
pCN;1;171
pCN;0;172
pCN;1;173
pCN;0;174
pCN;1;175
pCN;0;176
pCN;1;177
pCN;0;178
pCN;1;179
pCN;0;180
pCN;0;181
pCN;1;182
pCN;0;183
pCN;1;184
pCN;0;185
pCN;1;186
pCN;0;187
pCN;1;188
pCN;1;189
pCN;1;190
pCN;1;191
pCN;1;192
pCN;1;193
pCN;0;194
pCN;0;195
pCN;1;196
pCN;1;197
pCN;1;198
pCN;1;199
pCN;1;200
