pos;shape;value;landmark
pos1;1;1.006226756558819e25;1
pos2;1;4.201408396019856e23;1
pos1;1;-1.1938380791560946e27;2
pos2;1;5.426636295428912e27;2
pos1;1;-2.244758486371744e29;3
pos2;1;9.560718053725363e28;3
pos1;1;-2.799354177357529e28;4
pos2;1;2.5210241782260504e28;4
pos1;1;2.3187888378048316e29;5
pos2;1;-1.17172448570275e29;5
pos1;1;-3.397385459973804e27;6
pos2;1;-6.0680208328006146e26;6
pos1;1;1.8882145046600186e28;7
pos2;1;-9.732346831112628e27;7
pos1;1;3.3336819027547266e27;8
pos2;1;-1.5341398272394635e27;8
pos1;1;2.955840952476325e27;9
pos2;1;2.801258556124372e27;9
pos1;1;2.4343080667569912e14;10
pos2;1;-6.715793223650255e14;10
pos1;1;4.845833415146634e12;11
pos2;1;-7.417213567271062e12;11
pos1;1;2.3567329918683456e10;12
pos2;1;4.080286837707432e10;12
pos1;1;5.136835311808917e10;13
pos2;1;3.0856538078025288e10;13
pos1;1;3.9326482183769604;14
pos2;1;3.9432536606606363;14
pos1;1;29.48979055128803;15
pos2;1;15.099563023865198;15
pos1;1;-755.1480673537734;16
pos2;1;-579.6041690992233;16
pos1;1;-2069.8698664930102;17
pos2;1;-7963.639906215037;17
pos1;1;-1.804311451282228e9;18
pos2;1;-2.362418479365298e8;18
pos1;1;4.332269495780442e10;19
pos2;1;5.3988338368256e9;19
pos1;1;6.033884334491159e9;20
pos2;1;1.6158319555623941e9;20
pos1;1;6.98817844231858e10;21
pos2;1;4.5923913022911575e10;21
pos1;1;-3.687174628458222e11;22
pos2;1;-1.6823423439509598e11;22
pos1;1;-1.0466124042496766e14;23
pos2;1;-2.5107484773770457e13;23
pos1;1;7.43586472903412e14;24
pos2;1;1.4056053064633805e14;24
pos1;1;-3.1869900700642064e16;25
pos2;1;1.9106630676091187e17;25
pos1;1;1.214177838225411e27;26
pos2;1;-7.090126094851019e27;26
pos1;1;1.2372120729809511e29;27
pos2;1;-7.22335124718959e29;27
pos1;1;-1.2372120729799742e29;28
pos2;1;7.223351247187887e29;28
pos1;1;-1.214177838309278e27;29
pos2;1;7.090126094831142e27;29
pos1;1;2.7193873173232455e15;30
pos2;1;5.488640804135801e14;30
pos1;1;1.4628467116541982e16;31
pos2;1;3.02262886746901e15;31
pos1;1;-2.6395567598223403e14;32
pos2;1;-7.0186848655278914e13;32
pos1;1;23.105148194525757;33
pos2;1;-31.296555300369988;33
pos1;1;-8.637077269941502;34
pos2;1;6.861322918549091;34
pos1;1;7.619868284239262e9;35
pos2;1;-2.075962991738389e10;35
pos1;1;-1.3618833582467734e12;36
pos2;1;5.859236926931878e12;36
pos1;1;3.607193193989053e13;37
pos2;1;-1.713272775761557e14;37
pos1;1;2.7991157349728906e13;38
pos2;1;-1.2285002188156961e14;38
pos1;1;-4.0319547158166325e14;39
pos2;1;1.5750742877023338e15;39
pos1;1;-3.3613986599876225e14;40
pos2;1;1.1708555535394405e15;40
