kernel;acc;iter
mala_mom;0;1
rmmala_pos;1;2
parameterupdate;0;3
mala_mom;0;4
rmmala_pos;1;5
parameterupdate;0;6
mala_mom;0;7
rmmala_pos;1;8
parameterupdate;0;9
mala_mom;0;10
rmmala_pos;1;11
parameterupdate;0;12
mala_mom;0;13
rmmala_pos;1;14
parameterupdate;1;15
mala_mom;0;16
rmmala_pos;1;17
parameterupdate;0;18
mala_mom;0;19
rmmala_pos;0;20
parameterupdate;0;21
mala_mom;0;22
rmmala_pos;0;23
parameterupdate;1;24
mala_mom;0;25
rmmala_pos;0;26
parameterupdate;0;27
mala_mom;0;28
rmmala_pos;1;29
parameterupdate;1;30
mala_mom;0;31
rmmala_pos;0;32
parameterupdate;0;33
mala_mom;0;34
rmmala_pos;0;35
parameterupdate;0;36
mala_mom;0;37
rmmala_pos;0;38
parameterupdate;1;39
mala_mom;0;40
rmmala_pos;0;41
parameterupdate;1;42
mala_mom;0;43
rmmala_pos;0;44
parameterupdate;1;45
mala_mom;0;46
rmmala_pos;1;47
parameterupdate;1;48
mala_mom;1;49
rmmala_pos;1;50
parameterupdate;1;51
mala_mom;1;52
rmmala_pos;1;53
parameterupdate;1;54
mala_mom;1;55
rmmala_pos;1;56
parameterupdate;1;57
mala_mom;1;58
rmmala_pos;1;59
parameterupdate;1;60
mala_mom;1;61
rmmala_pos;1;62
parameterupdate;0;63
mala_mom;1;64
rmmala_pos;1;65
parameterupdate;0;66
mala_mom;1;67
rmmala_pos;1;68
parameterupdate;0;69
mala_mom;1;70
rmmala_pos;1;71
parameterupdate;0;72
mala_mom;1;73
rmmala_pos;1;74
parameterupdate;1;75
