a;c;gamma;iterate
0.2441059038506354;0.2;0.31622776601683794;0
0.2441059038506354;0.2;0.31622776601683794;1
0.26121562734752024;0.1922349186099428;0.34111737686742316;2
0.26121562734752024;0.1922349186099428;0.34111737686742316;3
0.28622092402366717;0.1820943065919392;0.38738059036848976;4
0.3005104585815647;0.20361810734422237;0.2957649337551878;5
0.32481363448190353;0.17961946688873132;0.2915077461329671;6
0.32481363448190353;0.17961946688873132;0.2915077461329671;7
0.28959892574205115;0.1795672258897025;0.31373859094989204;8
0.28959892574205115;0.1795672258897025;0.31373859094989204;9
0.31114281416684353;0.17429848904604456;0.32981998838108667;10
