kernel;acc;iter
rmmala_pos;1;1
:parameterupdate;1;1
rmmala_pos;1;2
:parameterupdate;1;2
rmmala_pos;1;3
:parameterupdate;0;3
rmmala_pos;1;4
:parameterupdate;0;4
rmmala_pos;1;5
:parameterupdate;0;5
rmmala_pos;1;6
:parameterupdate;1;6
rmmala_pos;1;7
:parameterupdate;0;7
rmmala_pos;0;8
:parameterupdate;0;8
rmmala_pos;0;9
:parameterupdate;0;9
rmmala_pos;1;10
:parameterupdate;0;10
rmmala_pos;1;11
:parameterupdate;0;11
rmmala_pos;0;12
:parameterupdate;1;12
rmmala_pos;0;13
:parameterupdate;0;13
rmmala_pos;0;14
:parameterupdate;0;14
rmmala_pos;0;15
:parameterupdate;0;15
rmmala_pos;0;16
:parameterupdate;1;16
rmmala_pos;0;17
:parameterupdate;0;17
rmmala_pos;0;18
:parameterupdate;0;18
rmmala_pos;0;19
:parameterupdate;0;19
rmmala_pos;0;20
:parameterupdate;1;20
rmmala_pos;0;21
:parameterupdate;0;21
rmmala_pos;0;22
:parameterupdate;0;22
rmmala_pos;0;23
:parameterupdate;0;23
rmmala_pos;0;24
:parameterupdate;0;24
rmmala_pos;0;25
:parameterupdate;0;25
rmmala_pos;0;26
:parameterupdate;0;26
rmmala_pos;0;27
:parameterupdate;0;27
rmmala_pos;0;28
:parameterupdate;0;28
rmmala_pos;0;29
:parameterupdate;0;29
rmmala_pos;0;30
:parameterupdate;0;30
rmmala_pos;0;31
:parameterupdate;0;31
rmmala_pos;0;32
:parameterupdate;0;32
rmmala_pos;0;33
:parameterupdate;0;33
rmmala_pos;0;34
:parameterupdate;0;34
rmmala_pos;0;35
:parameterupdate;0;35
rmmala_pos;0;36
:parameterupdate;0;36
rmmala_pos;0;37
:parameterupdate;0;37
rmmala_pos;0;38
:parameterupdate;0;38
rmmala_pos;0;39
:parameterupdate;0;39
rmmala_pos;0;40
:parameterupdate;1;40
rmmala_pos;0;41
:parameterupdate;0;41
rmmala_pos;0;42
:parameterupdate;0;42
rmmala_pos;0;43
:parameterupdate;0;43
rmmala_pos;0;44
:parameterupdate;1;44
rmmala_pos;0;45
:parameterupdate;0;45
rmmala_pos;0;46
:parameterupdate;0;46
rmmala_pos;0;47
:parameterupdate;0;47
rmmala_pos;0;48
:parameterupdate;0;48
rmmala_pos;0;49
:parameterupdate;0;49
rmmala_pos;0;50
:parameterupdate;0;50
rmmala_pos;0;51
:parameterupdate;1;51
rmmala_pos;0;52
:parameterupdate;0;52
rmmala_pos;0;53
:parameterupdate;0;53
rmmala_pos;0;54
:parameterupdate;0;54
rmmala_pos;0;55
:parameterupdate;0;55
rmmala_pos;0;56
:parameterupdate;0;56
rmmala_pos;0;57
:parameterupdate;0;57
rmmala_pos;1;58
:parameterupdate;1;58
rmmala_pos;0;59
:parameterupdate;0;59
rmmala_pos;1;60
:parameterupdate;0;60
rmmala_pos;0;61
:parameterupdate;1;61
rmmala_pos;0;62
:parameterupdate;1;62
rmmala_pos;1;63
:parameterupdate;0;63
rmmala_pos;0;64
:parameterupdate;1;64
rmmala_pos;0;65
:parameterupdate;0;65
rmmala_pos;0;66
:parameterupdate;1;66
rmmala_pos;0;67
:parameterupdate;0;67
