a;gamma;iterate
0.1;0.1;0
0.09943159114778599;0.1;1
0.09943159114778599;0.1;2
0.10032386313136575;0.1;3
0.10000771959986704;0.1;4
0.10172279165051108;0.1;5
0.10133274854202093;0.1;6
0.10315187303139699;0.1;7
0.10283834294161094;0.1;8
0.10278999455622076;0.1;9
0.10278999455622076;0.1;10
0.10225522638279946;0.1;11
0.10225522638279946;0.1;12
0.10185843366959768;0.1;13
0.10276362128735149;0.1;14
0.10428942389369668;0.1;15
0.10473683999025707;0.1;16
0.10438568946545711;0.1;17
0.1043094551408888;0.1;18
0.1043094551408888;0.1;19
0.10539384183280641;0.1;20
0.105276388761723;0.1;21
0.10460246658102933;0.1;22
0.10467357797183781;0.1;23
0.10467357797183781;0.1;24
0.10495381746432028;0.1;25
0.10495381746432028;0.1;26
0.10526283320574797;0.1;27
0.10481935749495049;0.1;28
0.10536662230604207;0.1;29
0.10609067322057542;0.1;30
0.10638997911698994;0.1;31
0.10638997911698994;0.1;32
0.10563639621148228;0.1;33
0.10660107892177441;0.1;34
0.10596451481581391;0.1;35
0.10483299834391567;0.1;36
0.10480326560070159;0.1;37
0.10338163996806944;0.1;38
0.1050159076178512;0.1;39
0.10630379446273457;0.1;40
0.10630379446273457;0.1;41
0.10702927683707232;0.1;42
0.1071376310188733;0.1;43
0.1070439499164312;0.1;44
0.1070439499164312;0.1;45
0.1072628046735941;0.1;46
0.10799238583645998;0.1;47
0.10949894890615457;0.1;48
0.11065084602203921;0.1;49
0.11219274019857449;0.1;50
