pos;shape;value;landmark
pos1;1;-0.74213740331752;1
pos2;1;-0.6400285257750022;1
pos1;1;-1.3182523268833464;2
pos2;1;-0.7039219465235406;2
pos1;1;-1.4565959797191343;3
pos2;1;-0.24914256684766056;3
pos1;1;-1.0018693956226825;4
pos2;1;0.11596626936246553;4
pos1;1;-0.4983496229345081;5
pos2;1;0.39730930400074776;5
pos1;1;0.07335731294183734;6
pos2;1;0.5890921095298166;6
pos1;1;0.6629896550820517;7
pos2;1;0.5186183939899394;7
pos1;1;1.1727232231221922;8
pos2;1;0.3295766632582335;8
pos1;1;1.55775719970768;9
pos2;1;-0.0388794383887461;9
pos1;1;1.4843913742586705;10
pos2;1;-0.4439898229868465;10
pos1;1;1.1073978043897432;11
pos2;1;-0.09176637925397033;11
pos1;1;0.690510523290102;12
pos2;1;0.2214526325582099;12
pos1;1;0.1465987305873039;13
pos2;1;0.29707107963240836;13
pos1;1;-0.40791661317837075;14
pos2;1;0.12913808999148804;14
pos1;1;-0.8501864954221404;15
pos2;1;-0.1406140823219734;15
pos1;1;-0.8828513209958513;16
pos2;1;-0.49699902824462605;16
