locx;locy;nfstd
-2.5;-2.5;0.25
-2.0;-2.5;0.25
-1.5;-2.5;0.25
-1.0;-2.5;0.25
-0.5;-2.5;0.25
0.0;-2.5;0.25
0.5;-2.5;0.25
1.0;-2.5;0.25
1.5;-2.5;0.25
2.0;-2.5;0.25
2.5;-2.5;0.25
-2.5;-2.0;0.25
-2.0;-2.0;0.25
-1.5;-2.0;0.25
-1.0;-2.0;0.25
-0.5;-2.0;0.25
0.0;-2.0;0.25
0.5;-2.0;0.25
1.0;-2.0;0.25
1.5;-2.0;0.25
2.0;-2.0;0.25
2.5;-2.0;0.25
-2.5;-1.5;0.25
-2.0;-1.5;0.25
-1.5;-1.5;0.25
-1.0;-1.5;0.25
-0.5;-1.5;0.25
0.0;-1.5;0.25
0.5;-1.5;0.25
1.0;-1.5;0.25
1.5;-1.5;0.25
2.0;-1.5;0.25
2.5;-1.5;0.25
-2.5;-1.0;0.25
-2.0;-1.0;0.25
-1.5;-1.0;0.25
-1.0;-1.0;0.25
-0.5;-1.0;0.25
0.0;-1.0;0.25
0.5;-1.0;0.25
1.0;-1.0;0.25
1.5;-1.0;0.25
2.0;-1.0;0.25
2.5;-1.0;0.25
-2.5;-0.5;0.25
-2.0;-0.5;0.25
-1.5;-0.5;0.25
-1.0;-0.5;0.25
-0.5;-0.5;0.25
0.0;-0.5;0.25
0.5;-0.5;0.25
1.0;-0.5;0.25
1.5;-0.5;0.25
2.0;-0.5;0.25
2.5;-0.5;0.25
-2.5;0.0;0.25
-2.0;0.0;0.25
-1.5;0.0;0.25
-1.0;0.0;0.25
-0.5;0.0;0.25
0.0;0.0;0.25
0.5;0.0;0.25
1.0;0.0;0.25
1.5;0.0;0.25
2.0;0.0;0.25
2.5;0.0;0.25
-2.5;0.5;0.25
-2.0;0.5;0.25
-1.5;0.5;0.25
-1.0;0.5;0.25
-0.5;0.5;0.25
0.0;0.5;0.25
0.5;0.5;0.25
1.0;0.5;0.25
1.5;0.5;0.25
2.0;0.5;0.25
2.5;0.5;0.25
-2.5;1.0;0.25
-2.0;1.0;0.25
-1.5;1.0;0.25
-1.0;1.0;0.25
-0.5;1.0;0.25
0.0;1.0;0.25
0.5;1.0;0.25
1.0;1.0;0.25
1.5;1.0;0.25
2.0;1.0;0.25
2.5;1.0;0.25
-2.5;1.5;0.25
-2.0;1.5;0.25
-1.5;1.5;0.25
-1.0;1.5;0.25
-0.5;1.5;0.25
0.0;1.5;0.25
0.5;1.5;0.25
1.0;1.5;0.25
1.5;1.5;0.25
2.0;1.5;0.25
2.5;1.5;0.25
-2.5;2.0;0.25
-2.0;2.0;0.25
-1.5;2.0;0.25
-1.0;2.0;0.25
-0.5;2.0;0.25
0.0;2.0;0.25
0.5;2.0;0.25
1.0;2.0;0.25
1.5;2.0;0.25
2.0;2.0;0.25
2.5;2.0;0.25
-2.5;2.5;0.25
-2.0;2.5;0.25
-1.5;2.5;0.25
-1.0;2.5;0.25
-0.5;2.5;0.25
0.0;2.5;0.25
0.5;2.5;0.25
1.0;2.5;0.25
1.5;2.5;0.25
2.0;2.5;0.25
2.5;2.5;0.25
