a;gamma;iterate
1.1537403346986619;0.1;0
1.171374322616327;0.1;1
1.171374322616327;0.1;2
1.2570707701925796;0.1;3
1.2570707701925796;0.1;4
1.2570707701925796;0.1;5
1.409538555118555;0.1;6
1.3910879543800372;0.1;7
1.5015843044710928;0.1;8
1.5292846705772054;0.1;9
1.5292846705772054;0.1;10
1.5292846705772054;0.1;11
1.348793217635162;0.1;12
1.3911056938632007;0.1;13
1.3911056938632007;0.1;14
1.507306794310021;0.1;15
1.5059817093197643;0.1;16
1.5059817093197643;0.1;17
1.5009903140340686;0.1;18
1.5009903140340686;0.1;19
1.5009903140340686;0.1;20
1.5009903140340686;0.1;21
1.477911872659106;0.1;22
1.477911872659106;0.1;23
1.477911872659106;0.1;24
1.477911872659106;0.1;25
1.477911872659106;0.1;26
1.477911872659106;0.1;27
1.477911872659106;0.1;28
1.5330285612285492;0.1;29
1.5265686335651045;0.1;30
1.5265686335651045;0.1;31
1.4402528876245977;0.1;32
1.4419522801083762;0.1;33
1.4419522801083762;0.1;34
1.4187337021910353;0.1;35
1.4187337021910353;0.1;36
1.4267419015340477;0.1;37
1.4267419015340477;0.1;38
1.3681806171912017;0.1;39
1.3681806171912017;0.1;40
1.3681806171912017;0.1;41
1.3681806171912017;0.1;42
1.277741420044324;0.1;43
1.277741420044324;0.1;44
1.3559578338594034;0.1;45
1.3559578338594034;0.1;46
1.3559578338594034;0.1;47
1.2757296807974625;0.1;48
1.2757296807974625;0.1;49
1.3172471660408693;0.1;50
1.3172471660408693;0.1;51
1.30221004982922;0.1;52
1.2438255153116202;0.1;53
1.2410258630652256;0.1;54
1.2410258630652256;0.1;55
1.2593232874608142;0.1;56
1.2593232874608142;0.1;57
1.186388763699541;0.1;58
1.186388763699541;0.1;59
1.309955914356991;0.1;60
1.2875499531011865;0.1;61
1.2875499531011865;0.1;62
1.3622968351845495;0.1;63
1.3622968351845495;0.1;64
1.3761643248461755;0.1;65
1.3903755185505606;0.1;66
1.3802208929166453;0.1;67
1.344494818798003;0.1;68
1.4374413468957534;0.1;69
1.425195031043647;0.1;70
