pos;shape;value;landmark
pos1;1;-2.5300005;1
pos2;1;0.9441915000000002;1
pos1;1;-1.6904203;2
pos2;1;-0.26999390000000006;2
pos1;1;0.6950539999999996;3
pos2;1;-1.19160457;3
pos1;1;0.6761552000000002;4
pos2;1;-0.2888926999999999;4
pos1;1;-0.26446630000000015;5
pos2;1;1.3976827;5
pos1;1;1.4013674999999999;6
pos2;1;-0.043248900000000035;6
pos1;1;2.320908;7
pos2;1;-0.7527424;7
pos1;1;1.4813277;8
pos2;1;0.5345863999999999;8
pos1;1;-0.6642665999999998;9
pos2;1;1.8804309000000003;9
pos1;1;-0.037912899999999895;10
pos2;1;0.1834969000000001;10
pos1;1;0.26860050000000013;11
pos2;1;-0.7819998;11
pos1;1;-1.6237869;12
pos2;1;0.46144320000000005;12
