a;c;gamma;iterate
0.125;0.2;2.0;0
0.125;0.2;2.0;1
0.125;0.2;2.0;2
0.125;0.2;2.0;3
0.125;0.2;2.0;4
0.125;0.2;2.0;5
0.125;0.2;2.0;6
0.125;0.2;2.0;7
0.125;0.2;2.0;8
0.125;0.2;2.0;9
0.125;0.2;2.0;10
0.125;0.2;2.0;11
0.125;0.2;2.0;12
0.125;0.2;2.0;13
0.125;0.2;2.0;14
0.125;0.2;2.0;15
0.125;0.2;2.0;16
0.125;0.2;2.0;17
0.125;0.2;2.0;18
0.125;0.2;2.0;19
0.125;0.2;2.0;20
0.125;0.2;2.0;21
0.125;0.2;2.0;22
0.125;0.2;2.0;23
0.125;0.2;2.0;24
0.125;0.2;2.0;25
0.125;0.2;2.0;26
0.125;0.2;2.0;27
0.125;0.2;2.0;28
0.125;0.2;2.0;29
0.125;0.2;2.0;30
0.125;0.2;2.0;31
0.125;0.2;2.0;32
0.125;0.2;2.0;33
0.125;0.2;2.0;34
0.125;0.2;2.0;35
0.125;0.2;2.0;36
0.125;0.2;2.0;37
0.125;0.2;2.0;38
0.125;0.2;2.0;39
0.125;0.2;2.0;40
0.125;0.2;2.0;41
0.125;0.2;2.0;42
0.125;0.2;2.0;43
0.125;0.2;2.0;44
0.125;0.2;2.0;45
0.125;0.2;2.0;46
0.125;0.2;2.0;47
0.125;0.2;2.0;48
0.125;0.2;2.0;49
0.125;0.2;2.0;50
